normalisasi,Score,Sentiment,tokenize,stopword removal
sudah ribu telat lagi dibayarkannya ya kak,-1,Negatif,"['sudah', 'ribu', 'telat', 'lagi', 'dibayarkannya', 'ya', 'kak']",ribu telat dibayarkannya
cobah lihat vt krisdayanti,1,Positif,"['cobah', 'lihat', 'vt', 'krisdayanti']",cobah lihat vt krisdayanti
semangat kakak usaha sambilan insya allah berkah,2,Positif,"['semangat', 'kakak', 'usaha', 'sambilan', 'insya', 'allah', 'berkah']",semangat kakak usaha sambilan insya allah berkah
sakiiit sih kak memang kenapa tidak dibubarin sih,-1,Negatif,"['sakiiit', 'sih', 'kak', 'memang', 'kenapa', 'tidak', 'dibubarin', 'sih']",sakiiit dibubarin
buka aib sendiri,-1,Negatif,"['buka', 'aib', 'sendiri']",buka aib
jadi bingung ya kan siapa yang beban,-1,Negatif,"['jadi', 'bingung', 'ya', 'kan', 'siapa', 'yang', 'beban']",bingung beban
sebenarnya tugas atau kerja dpr apa kok gajinya segede itu,-1,Negatif,"['sebenarnya', 'tugas', 'atau', 'kerja', 'dpr', 'apa', 'kok', 'gajinya', 'segede', 'itu']",tugas kerja dpr gajinya segede
guru cuman ribu set tahun,1,Positif,"['guru', 'cuman', 'ribu', 'set', 'tahun']",guru cuman ribu set
guru berangkat kerja pakai bensin duit sendiri,0,Netral,"['guru', 'berangkat', 'kerja', 'pakai', 'bensin', 'duit', 'sendiri']",guru berangkat kerja bensin duit
bukan main ya wak kita dsruh kerja mereka aduhaaaaiii menikmati sekali,-1,Negatif,"['bukan', 'main', 'ya', 'wak', 'kita', 'dsruh', 'kerja', 'mereka', 'aduhaaaaiii', 'menikmati', 'sekali']",main wak dsruh kerja aduhaaaaiii menikmati
nah rakyat gaji umr saja sudah bersyukur banget asal tidak ada phk mereka hidup dengn makmurnya,0,Netral,"['nah', 'rakyat', 'gaji', 'umr', 'saja', 'sudah', 'bersyukur', 'banget', 'asal', 'tidak', 'ada', 'phk', 'mereka', 'hidup', 'dengn', 'makmurnya']",rakyat gaji umr bersyukur phk hidup dengn makmurnya
dari pajak kayak ya itu,-3,Negatif,"['dari', 'pajak', 'kayak', 'ya', 'itu']",pajak
belum lagi tunjangan yang pernah disebutkan kd dulu,-3,Negatif,"['belum', 'lagi', 'tunjangan', 'yang', 'pernah', 'disebutkan', 'kd', 'dulu']",tunjangan kd
semua rakyat yang bayar biayai hidup mereka,-2,Negatif,"['semua', 'rakyat', 'yang', 'bayar', 'biayai', 'hidup', 'mereka']",rakyat bayar biayai hidup
enak ya hidop diasmua di tnggung negara,1,Positif,"['enak', 'ya', 'hidop', 'diasmua', 'di', 'tnggung', 'negara']",enak hidop diasmua tnggung negara
giliran rakyat suruh nanggung psjak apapun enak nih orang krjanya,0,Netral,"['giliran', 'rakyat', 'suruh', 'nanggung', 'psjak', 'apapun', 'enak', 'nih', 'orang', 'krjanya']",giliran rakyat suruh nanggung psjak apapun enak orang krjanya
betul kak padhal mereka tidak miskin tapi banyak banget tunjangan dari negara ya kan mereka juga pasti punya bisnis lain yang bisa untuk makan bensin dll,-1,Negatif,"['betul', 'kak', 'padhal', 'mereka', 'tidak', 'miskin', 'tapi', 'banyak', 'banget', 'tunjangan', 'dari', 'negara', 'ya', 'kan', 'mereka', 'juga', 'pasti', 'punya', 'bisnis', 'lain', 'yang', 'bisa', 'untuk', 'makan', 'bensin', 'dll']",padhal miskin tunjangan negara bisnis makan bensin dll
bensin juta tunjangan beras juta buset,1,Positif,"['bensin', 'juta', 'tunjangan', 'beras', 'juta', 'buset']",bensin juta tunjangan beras juta
masih kurang itu kak kayaknya semua kebutuhan mereka kita yang nanggung deh sampai biaya pernikahan anaka cucu kali kita juga yang nanggung,-5,Negatif,"['masih', 'kurang', 'itu', 'kak', 'kayaknya', 'semua', 'kebutuhan', 'mereka', 'kita', 'yang', 'nanggung', 'deh', 'sampai', 'biaya', 'pernikahan', 'anaka', 'cucu', 'kali', 'kita', 'juga', 'yang', 'nanggung']",kayaknya kebutuhan nanggung biaya pernikahan anaka cucu kali nanggung
sesuai janji pak prabowo akan memperkaya pejabatnya silakan kalian nikmati pilihan kalian,4,Positif,"['sesuai', 'janji', 'pak', 'prabowo', 'akan', 'memperkaya', 'pejabatnya', 'silakan', 'kalian', 'nikmati', 'pilihan', 'kalian']",sesuai janji prabowo memperkaya pejabatnya silakan nikmati pilihan
padahal mereka sudah kayak tapi masih di tanggung,-2,Negatif,"['padahal', 'mereka', 'sudah', 'kayak', 'tapi', 'masih', 'di', 'tanggung']",tanggung
kan para tikus makan beras banyak kak sampai perut buncitlah minimal,1,Positif,"['kan', 'para', 'tikus', 'makan', 'beras', 'banyak', 'kak', 'sampai', 'perut', 'buncitlah', 'minimal']",tikus makan beras perut buncitlah minimal
dia kan tikus pak kemungkinan lebih rakus di banding manusia,0,Netral,"['dia', 'kan', 'tikus', 'pak', 'kemungkinan', 'lebih', 'rakus', 'di', 'banding', 'manusia']",tikus rakus banding manusia
mengasih makan sekampungnya kali tiap hari,0,Netral,"['mengasih', 'makan', 'sekampungnya', 'kali', 'tiap', 'hari']",mengasih makan sekampungnya kali
kan tikus hama abang makan ya banyak,0,Netral,"['kan', 'tikus', 'hama', 'abang', 'makan', 'ya', 'banyak']",tikus hama makan
nama nya juga tikus bang ya harus rakus lah,0,Netral,"['nama', 'nya', 'juga', 'tikus', 'bang', 'ya', 'harus', 'rakus', 'lah']",nama nya tikus rakus
makan karung ya kali,1,Positif,"['makan', 'karung', 'ya', 'kali']",makan karung kali
berjuang apaan abang astaghfirullah al aziim,-2,Negatif,"['berjuang', 'apaan', 'abang', 'astaghfirullah', 'al', 'aziim']",berjuang astaghfirullah al aziim
nih pasti teman yohanes,1,Positif,"['nih', 'pasti', 'teman', 'yohanes']",teman yohanes
tanggungjawab ya dunia akhirat ya,2,Positif,"['tanggungjawab', 'ya', 'dunia', 'akhirat', 'ya']",tanggungjawab dunia akhirat
berjuang apa anemng rkyat sudah sejahtera di bantu oleh kawrkyat susah mnjerit klaparansnda enakmlh naik gji,-1,Negatif,"['berjuang', 'apa', 'anemng', 'rkyat', 'sudah', 'sejahtera', 'di', 'bantu', 'oleh', 'kawrkyat', 'susah', 'mnjerit', 'klaparansnda', 'enakmlh', 'naik', 'gji']",berjuang anemng rkyat sejahtera bantu kawrkyat susah mnjerit klaparansnda enakmlh gji
benar abang mereka punya keluarga yang harus di cukupin buat turunan,0,Netral,"['benar', 'abang', 'mereka', 'punya', 'keluarga', 'yang', 'harus', 'di', 'cukupin', 'buat', 'turunan']",keluarga cukupin turunan
coba kasih contoh yang real abang kalau perkataan anda benar,-2,Negatif,"['coba', 'kasih', 'contoh', 'yang', 'real', 'abang', 'kalau', 'perkataan', 'anda', 'benar']",coba kasih contoh real perkataan
berjuang apa ya bukti ya rakyat ya yang harus ya jadi tuan ya malah semakin banyak kesusahan omon lho,1,Positif,"['berjuang', 'apa', 'ya', 'bukti', 'ya', 'rakyat', 'ya', 'yang', 'harus', 'ya', 'jadi', 'tuan', 'ya', 'malah', 'semakin', 'banyak', 'kesusahan', 'omon', 'lho']",berjuang bukti rakyat tuan kesusahan omon
asal tau dan igeat rakyat jangan memikirkan mentang pejabat semuah pekerja memang harus di gaji cuman liah lah rakyat yang di pigiran seperti apa,-8,Negatif,"['asal', 'tau', 'dan', 'igeat', 'rakyat', 'jangan', 'memikirkan', 'mentang', 'pejabat', 'semuah', 'pekerja', 'memang', 'harus', 'di', 'gaji', 'cuman', 'liah', 'lah', 'rakyat', 'yang', 'di', 'pigiran', 'seperti', 'apa']",igeat rakyat memikirkan mentang pejabat semuah pekerja gaji cuman liah rakyat pigiran
berjuang dimananya bosqu awalnya pengemis itu bosqu makanya dikasih gaji jadi overhead,0,Netral,"['berjuang', 'dimananya', 'bosqu', 'awalnya', 'pengemis', 'itu', 'bosqu', 'makanya', 'dikasih', 'gaji', 'jadi', 'overhead']",berjuang dimananya bosqu pengemis bosqu dikasih gaji overhead
berjuang untuk rakyat apadlm hal apa apa dpr sekarang mewakili memperjuangkn suara hati rakyat yang ada korupsi,-5,Negatif,"['berjuang', 'untuk', 'rakyat', 'apadlm', 'hal', 'apa', 'apa', 'dpr', 'sekarang', 'mewakili', 'memperjuangkn', 'suara', 'hati', 'rakyat', 'yang', 'ada', 'korupsi']",berjuang rakyat apadlm dpr mewakili memperjuangkn suara hati rakyat korupsi
berjuang apa ya tolong jawab,0,Netral,"['berjuang', 'apa', 'ya', 'tolong', 'jawab']",berjuang tolong
mereka berjuang untuk gaya hidup mereka sendirirakyat sudah muaak tidak butuh penjelasan,-1,Negatif,"['mereka', 'berjuang', 'untuk', 'gaya', 'hidup', 'mereka', 'sendirirakyat', 'sudah', 'muaak', 'tidak', 'butuh', 'penjelasan']",berjuang gaya hidup sendirirakyat muaak butuh penjelasan
berjuang untuk keluarganya sendiri,-1,Negatif,"['berjuang', 'untuk', 'keluarganya', 'sendiri']",berjuang keluarganya
apa yang mereka perjuangkan,-2,Negatif,"['apa', 'yang', 'mereka', 'perjuangkan']",perjuangkan
saya akan mrnemui sri srini ke jkrutk mengusul kan gaji dpr juta di genap kan jtbln saya kjt bpk ibuk dpr untuk bersabar,-2,Negatif,"['saya', 'akan', 'mrnemui', 'sri', 'srini', 'ke', 'jkrutk', 'mengusul', 'kan', 'gaji', 'dpr', 'juta', 'di', 'genap', 'kan', 'jtbln', 'saya', 'kjt', 'bpk', 'ibuk', 'dpr', 'untuk', 'bersabar']",mrnemui sri srini jkrutk mengusul gaji dpr juta genap jtbln kjt bpk ibuk dpr bersabar
berjuang untuk siapa toh bertahuntahun tak ada kemajuan sama saja berjuang cuma cari jabatan saja ia,-3,Negatif,"['berjuang', 'untuk', 'siapa', 'toh', 'bertahuntahun', 'tak', 'ada', 'kemajuan', 'sama', 'saja', 'berjuang', 'cuma', 'cari', 'jabatan', 'saja', 'ia']",berjuang bertahuntahun kemajuan berjuang cari jabatan
iya kaget saya dengernya astagfirullah,-1,Negatif,"['iya', 'kaget', 'saya', 'dengernya', 'astagfirullah']",kaget dengernya astagfirullah
alhamdulilaaah atuh apa ageung pisaaan tong loba ngeluh mana kerjaanna hanya kongkong cuap,-5,Negatif,"['alhamdulilaaah', 'atuh', 'apa', 'ageung', 'pisaaan', 'tong', 'loba', 'ngeluh', 'mana', 'kerjaanna', 'hanya', 'kongkong', 'cuap']",alhamdulilaaah atuh ageung pisaaan tong loba ngeluh kerjaanna kongkong cuap
mereka lah yang jadi beban negara gaji meraka ampir seratus juta guru mah kasihan tidak cukup juta,-1,Negatif,"['mereka', 'lah', 'yang', 'jadi', 'beban', 'negara', 'gaji', 'meraka', 'ampir', 'seratus', 'juta', 'guru', 'mah', 'kasihan', 'tidak', 'cukup', 'juta']",beban negara gaji meraka ampir seratus juta guru kasihan juta
kamu orang mana bang,0,Netral,"['kamu', 'orang', 'mana', 'bang']",orang
kayak tau saja kamu pekerjaan ya bagaimana,-1,Negatif,"['kayak', 'tau', 'saja', 'kamu', 'pekerjaan', 'ya', 'bagaimana']",pekerjaan
kentut ya tidak meminta di tunjang juga bos,2,Positif,"['kentut', 'ya', 'tidak', 'meminta', 'di', 'tunjang', 'juga', 'bos']",kentut tunjang
bangun coy buka mata,-1,Negatif,"['bangun', 'coy', 'buka', 'mata']",bangun coy buka mata
nih orang komennya begini mulu banyak benar akunlo jamet,-1,Negatif,"['nih', 'orang', 'komennya', 'begini', 'mulu', 'banyak', 'benar', 'akunlo', 'jamet']",orang komennya mulu akunlo jamet
anjir sarkas benar luuu,0,Netral,"['anjir', 'sarkas', 'benar', 'luuu']",sarkas luuu
jangan percaya omongan politisi tiba naik lagi,-1,Negatif,"['jangan', 'percaya', 'omongan', 'politisi', 'tiba', 'naik', 'lagi']",percaya omongan politisi
penjelasan ya sudah beda begini beda orang beda penjelasannya,-2,Negatif,"['penjelasan', 'ya', 'sudah', 'beda', 'begini', 'beda', 'orang', 'beda', 'penjelasannya']",penjelasan beda beda orang beda penjelasannya
biaya tunjangan rumah dpr agar terpenuhi dengan cara menaiki pajak rakyat sedangkan mereka tidak bayar pajak,-4,Negatif,"['biaya', 'tunjangan', 'rumah', 'dpr', 'agar', 'terpenuhi', 'dengan', 'cara', 'menaiki', 'pajak', 'rakyat', 'sedangkan', 'mereka', 'tidak', 'bayar', 'pajak']",biaya tunjangan rumah dpr terpenuhi pajak rakyat bayar pajak
wih berubah berubah mulu ah stetmennya heran,0,Netral,"['wih', 'berubah', 'berubah', 'mulu', 'ah', 'stetmennya', 'heran']",wih berubah berubah mulu ah stetmennya heran
giliran gaji naik ruu ya langsung di sahkan giliran perampasan aset dari tahun kemarin kgk pernah di sahkan,3,Positif,"['giliran', 'gaji', 'naik', 'ruu', 'ya', 'langsung', 'di', 'sahkan', 'giliran', 'perampasan', 'aset', 'dari', 'tahun', 'kemarin', 'kgk', 'pernah', 'di', 'sahkan']",giliran gaji ruu langsung sahkan giliran perampasan aset kemarin kgk sahkan
terserah pak terserah masyarakat sudah muak dengan semua penjelasan dari dpr menurut kami sudah tidak ada yang masuk logika,-6,Negatif,"['terserah', 'pak', 'terserah', 'masyarakat', 'sudah', 'muak', 'dengan', 'semua', 'penjelasan', 'dari', 'dpr', 'menurut', 'kami', 'sudah', 'tidak', 'ada', 'yang', 'masuk', 'logika']",terserah terserah masyarakat muak penjelasan dpr masuk logika
sapusapubiar bersih wong cilik sudah pada pintar dan melek politik,-2,Negatif,"['sapusapubiar', 'bersih', 'wong', 'cilik', 'sudah', 'pada', 'pintar', 'dan', 'melek', 'politik']",sapusapubiar bersih cilik pintar melek politik
kenapa harus ada tunjngn perumhmreka kan kerjhrusny uang gji sendiri dong ngontrk rumah mhknp harus jadi beban kmijt buln memang ngontrak rumah apa,-3,Negatif,"['kenapa', 'harus', 'ada', 'tunjngn', 'perumhmreka', 'kan', 'kerjhrusny', 'uang', 'gji', 'sendiri', 'dong', 'ngontrk', 'rumah', 'mhknp', 'harus', 'jadi', 'beban', 'kmijt', 'buln', 'memang', 'ngontrak', 'rumah', 'apa']",tunjngn perumhmreka kerjhrusny uang gji ngontrk rumah mhknp beban kmijt buln ngontrak rumah
ini cari pembenaran saja biar suasana senyap setelah itu semua tunjangan tetap berjalan seperti biasa,-4,Negatif,"['ini', 'cari', 'pembenaran', 'saja', 'biar', 'suasana', 'senyap', 'setelah', 'itu', 'semua', 'tunjangan', 'tetap', 'berjalan', 'seperti', 'biasa']",cari pembenaran suasana senyap tunjangan berjalan
ini lagi ada lomba ber alasan ya,0,Netral,"['ini', 'lagi', 'ada', 'lomba', 'ber', 'alasan', 'ya']",lomba ber alasan
memang masih ada yang percaya sama ongan anggota dewan,-1,Negatif,"['memang', 'masih', 'ada', 'yang', 'percaya', 'sama', 'ongan', 'anggota', 'dewan']",percaya ongan anggota dewan
ah yang benar isa saja sih kancil,-2,Negatif,"['ah', 'yang', 'benar', 'isa', 'saja', 'sih', 'kancil']",ah isa kancil
keterangan selalu berubah trgntung sikond,0,Netral,"['keterangan', 'selalu', 'berubah', 'trgntung', 'sikond']",keterangan berubah trgntung sikond
sudah berbelit belit begini sudah fix pembelaan doang,-2,Negatif,"['sudah', 'berbelit', 'belit', 'begini', 'sudah', 'fix', 'pembelaan', 'doang']",berbelit belit fix pembelaan
akal liciknya dpr begitu tuh,0,Netral,"['akal', 'liciknya', 'dpr', 'begitu', 'tuh']",akal liciknya dpr
ws mari kompak tidak ada yang memilih dpr lagiwes yodielkompak,-2,Negatif,"['ws', 'mari', 'kompak', 'tidak', 'ada', 'yang', 'memilih', 'dpr', 'lagiwes', 'yodielkompak']",ws mari kompak memilih dpr lagiwes yodielkompak
semua cuma cari pembenaran saja serentak pemilu jangan ada pilih anggota dewan dari manapun dan siapapun,-8,Negatif,"['semua', 'cuma', 'cari', 'pembenaran', 'saja', 'serentak', 'pemilu', 'jangan', 'ada', 'pilih', 'anggota', 'dewan', 'dari', 'manapun', 'dan', 'siapapun']",cari pembenaran serentak pemilu pilih anggota dewan manapun
sudah ribut baru kau jelaskanemang kami rakyat bodoh,0,Netral,"['sudah', 'ribut', 'baru', 'kau', 'jelaskanemang', 'kami', 'rakyat', 'bodoh']",ribut kau jelaskanemang rakyat bodoh
juta kali bulan total juta wowwe,1,Positif,"['juta', 'kali', 'bulan', 'total', 'juta', 'wowwe']",juta kali total juta wowwe
intinya cuma ngeles karena terlanjur ketahuan,-4,Negatif,"['intinya', 'cuma', 'ngeles', 'karena', 'terlanjur', 'ketahuan']",intinya ngeles terlanjur ketahuan
akal an dpr doang ini mah,0,Netral,"['akal', 'an', 'dpr', 'doang', 'ini', 'mah']",akal an dpr
ya allah pak gampang benar ya di angsur juta bulan kita mah rakyat kecil malah punya angsuran buat bayar pajaknya mana sekarang naik bayar pajaknya ih ya allah sediiihhhh kita tuh,8,Positif,"['ya', 'allah', 'pak', 'gampang', 'benar', 'ya', 'di', 'angsur', 'juta', 'bulan', 'kita', 'mah', 'rakyat', 'kecil', 'malah', 'punya', 'angsuran', 'buat', 'bayar', 'pajaknya', 'mana', 'sekarang', 'naik', 'bayar', 'pajaknya', 'ih', 'ya', 'allah', 'sediiihhhh', 'kita', 'tuh']",allah gampang angsur juta rakyat angsuran bayar pajaknya bayar pajaknya ih allah sediiihhhh
mending dibuatin rumah dinas kayak tni yang rumanya sepetak biar ngerasai hidup dirumah sederhana lahanya pasan kan adil toh,-1,Negatif,"['mending', 'dibuatin', 'rumah', 'dinas', 'kayak', 'tni', 'yang', 'rumanya', 'sepetak', 'biar', 'ngerasai', 'hidup', 'dirumah', 'sederhana', 'lahanya', 'pasan', 'kan', 'adil', 'toh']",mending dibuatin rumah dinas tni rumanya sepetak ngerasai hidup dirumah sederhana lahanya pasan adil
ini sudah wawancara yang keberapa ya bisa kali didiskusikan buat di omongkan ke publik,2,Positif,"['ini', 'sudah', 'wawancara', 'yang', 'keberapa', 'ya', 'bisa', 'kali', 'didiskusikan', 'buat', 'di', 'omongkan', 'ke', 'publik']",wawancara keberapa kali didiskusikan omongkan publik
manfaatnya dpr itu apasih gunanya ada dpr itu apasih coba jangan terlalu banyak pejabat negara ini kebanyaka bayar pekabat,-6,Negatif,"['manfaatnya', 'dpr', 'itu', 'apasih', 'gunanya', 'ada', 'dpr', 'itu', 'apasih', 'coba', 'jangan', 'terlalu', 'banyak', 'pejabat', 'negara', 'ini', 'kebanyaka', 'bayar', 'pekabat']",manfaatnya dpr apasih gunanya dpr apasih coba pejabat negara kebanyaka bayar pekabat
masih percayaa sama anggota dewan klarifikasi ya kok bedaini kelihatan sekali hanya untuk meredam gejolak di bawah,-2,Negatif,"['masih', 'percayaa', 'sama', 'anggota', 'dewan', 'klarifikasi', 'ya', 'kok', 'bedaini', 'kelihatan', 'sekali', 'hanya', 'untuk', 'meredam', 'gejolak', 'di', 'bawah']",percayaa anggota dewan klarifikasi bedaini meredam gejolak
ini hanya di depan media kalau di belakang mah mana tau kan cuma mereka saja yang tau,-7,Negatif,"['ini', 'hanya', 'di', 'depan', 'media', 'kalau', 'di', 'belakang', 'mah', 'mana', 'tau', 'kan', 'cuma', 'mereka', 'saja', 'yang', 'tau']",media
terus komplek perumahan dpr untuk apa dibangun sudah begitu kosong tidak ada yang mau nempatin,-4,Negatif,"['terus', 'komplek', 'perumahan', 'dpr', 'untuk', 'apa', 'dibangun', 'sudah', 'begitu', 'kosong', 'tidak', 'ada', 'yang', 'mau', 'nempatin']",komplek perumahan dpr dibangun kosong nempatin
podo saja wong iki,-1,Negatif,"['podo', 'saja', 'wong', 'iki']",podo iki
ini agak masuk akal,-1,Negatif,"['ini', 'agak', 'masuk', 'akal']",masuk akal
kamu percayaa,0,Netral,"['kamu', 'percayaa']",percayaa
oktober oktober bapak yakin setahun sekali lagi setahun lebih kali pakyang ada setahun lebih sebulan halo bapak kpk,2,Positif,"['oktober', 'oktober', 'bapak', 'yakin', 'setahun', 'sekali', 'lagi', 'setahun', 'lebih', 'kali', 'pakyang', 'ada', 'setahun', 'lebih', 'sebulan', 'halo', 'bapak', 'kpk']",oktober oktober setahun setahun kali pakyang setahun sebulan halo kpk
memang dpr tidak punya rumah pak di tempat saya anggota dprd saja rumah ya dua tingkat mirip istana,0,Netral,"['memang', 'dpr', 'tidak', 'punya', 'rumah', 'pak', 'di', 'tempat', 'saya', 'anggota', 'dprd', 'saja', 'rumah', 'ya', 'dua', 'tingkat', 'mirip', 'istana']",dpr rumah anggota dprd rumah tingkat istana
jtorg anggota miliar,-1,Negatif,"['jtorg', 'anggota', 'miliar']",jtorg anggota miliar
buatkan perumahan yang penting sederhana saja lah yang penting tidak kehujanan kepanasan,-4,Negatif,"['buatkan', 'perumahan', 'yang', 'penting', 'sederhana', 'saja', 'lah', 'yang', 'penting', 'tidak', 'kehujanan', 'kepanasan']",buatkan perumahan sederhana kehujanan kepanasan
tidak mungkin anggota dpr tidak punya rumah,-2,Negatif,"['tidak', 'mungkin', 'anggota', 'dpr', 'tidak', 'punya', 'rumah']",anggota dpr rumah
anjay juta kali bulan wkwkw,-1,Negatif,"['anjay', 'juta', 'kali', 'bulan', 'wkwkw']",anjay juta kali
memang rakyat dibuat marah rusuh lalu ekonomi lusuh karena investor pada takut,-3,Negatif,"['memang', 'rakyat', 'dibuat', 'marah', 'rusuh', 'lalu', 'ekonomi', 'lusuh', 'karena', 'investor', 'pada', 'takut']",rakyat marah rusuh ekonomi lusuh investor takut
bgm dengan yang punya rumah di jakarta,1,Positif,"['bgm', 'dengan', 'yang', 'punya', 'rumah', 'di', 'jakarta']",bgm rumah jakarta
bubarkan dpr secepat mungkin,-1,Negatif,"['bubarkan', 'dpr', 'secepat', 'mungkin']",bubarkan dpr secepat
pegang hidung itu sudah pasti ada yang disembunyikan atau omonganya tidak dapat dipercaya,-4,Negatif,"['pegang', 'hidung', 'itu', 'sudah', 'pasti', 'ada', 'yang', 'disembunyikan', 'atau', 'omonganya', 'tidak', 'dapat', 'dipercaya']",pegang hidung disembunyikan omonganya dipercaya
besok jangan pilih siapa dpr mau aapan,-2,Negatif,"['besok', 'jangan', 'pilih', 'siapa', 'dpr', 'mau', 'aapan']",besok pilih dpr aapan
sakarepmu pak absen pemilihan legislatif,-1,Negatif,"['sakarepmu', 'pak', 'absen', 'pemilihan', 'legislatif']",sakarepmu absen pemilihan legislatif
belum lagi dana inspirasi sama pertahun,0,Netral,"['belum', 'lagi', 'dana', 'inspirasi', 'sama', 'pertahun']",dana inspirasi pertahun
nanti kami protes di bilang termul lagi sampai buat vt demo itu adalah termul semua,-5,Negatif,"['nanti', 'kami', 'protes', 'di', 'bilang', 'termul', 'lagi', 'sampai', 'buat', 'vt', 'demo', 'itu', 'adalah', 'termul', 'semua']",protes bilang termul vt demo termul
seharusnya ada rinciannya dan bukti atau slip gaji selama tidak ada itu maka tidak ada transparansi mengenai seberapa besar gaji dpr sebagai pembayar kami berhak mengetahui gaji kalian yang kami bayarrrrrrr,-6,Negatif,"['seharusnya', 'ada', 'rinciannya', 'dan', 'bukti', 'atau', 'slip', 'gaji', 'selama', 'tidak', 'ada', 'itu', 'maka', 'tidak', 'ada', 'transparansi', 'mengenai', 'seberapa', 'besar', 'gaji', 'dpr', 'sebagai', 'pembayar', 'kami', 'berhak', 'mengetahui', 'gaji', 'kalian', 'yang', 'kami', 'bayarrrrrrr']",rinciannya bukti slip gaji transparansi gaji dpr pembayar berhak gaji bayarrrrrrr
search saja di gugel mas,-1,Negatif,"['search', 'saja', 'di', 'gugel', 'mas']",search gugel
member baru langsung di kasih wd tidak,0,Netral,"['member', 'baru', 'langsung', 'di', 'kasih', 'wd', 'tidak']",member langsung kasih wd
jadi ikutan cair dong walau cuma juta,-2,Negatif,"['jadi', 'ikutan', 'cair', 'dong', 'walau', 'cuma', 'juta']",ikutan cair juta
dari sekian banyak komen ini doang yang mengasih wd,-2,Negatif,"['dari', 'sekian', 'banyak', 'komen', 'ini', 'doang', 'yang', 'mengasih', 'wd']",sekian komen mengasih wd
banget lo bang komen kamu jadi cuan,1,Positif,"['banget', 'lo', 'bang', 'komen', 'kamu', 'jadi', 'cuan']",komen cuan
wah saya juga bang habis wd juta awal ya cuman iseng eeh malah di kasih,0,Netral,"['wah', 'saya', 'juga', 'bang', 'habis', 'wd', 'juta', 'awal', 'ya', 'cuman', 'iseng', 'eeh', 'malah', 'di', 'kasih']",habis wd juta cuman iseng eeh kasih
memang keren banget,1,Positif,"['memang', 'keren', 'banget']",keren
kayak ya bukan hoki sih bang memang web ya saja yang lagi baik semua member baru kebanyakan menang main di sini,-3,Negatif,"['kayak', 'ya', 'bukan', 'hoki', 'sih', 'bang', 'memang', 'web', 'ya', 'saja', 'yang', 'lagi', 'baik', 'semua', 'member', 'baru', 'kebanyakan', 'menang', 'main', 'di', 'sini']",hoki web member kebanyakan menang main
nice info ya bang,1,Positif,"['nice', 'info', 'ya', 'bang']",nice info
mengira gua hoki doang ternyata memang buat semua new member ya di kasih,0,Netral,"['mengira', 'gua', 'hoki', 'doang', 'ternyata', 'memang', 'buat', 'semua', 'new', 'member', 'ya', 'di', 'kasih']",gua hoki new member kasih
memang rekomen banget nih disini,1,Positif,"['memang', 'rekomen', 'banget', 'nih', 'disini']",rekomen
hallahhh pakkkk sibuk klarifikasi semuarakyat ini sudah pada pandai pakkk,-1,Negatif,"['hallahhh', 'pakkkk', 'sibuk', 'klarifikasi', 'semuarakyat', 'ini', 'sudah', 'pada', 'pandai', 'pakkk']",hallahhh pakkkk sibuk klarifikasi semuarakyat pandai pakkk
benar banget sudah muak terserah lah,-1,Negatif,"['benar', 'banget', 'sudah', 'muak', 'terserah', 'lah']",muak terserah
mending suruh bubar sih biar rakyat tidak dibikin rugi,-3,Negatif,"['mending', 'suruh', 'bubar', 'sih', 'biar', 'rakyat', 'tidak', 'dibikin', 'rugi']",mending suruh bubar rakyat dibikin rugi
beda penjelasan nya yang mana yang benar pak,-2,Negatif,"['beda', 'penjelasan', 'nya', 'yang', 'mana', 'yang', 'benar', 'pak']",beda penjelasan nya
wkwkkwkw dikira kita bodo ya pak,-1,Negatif,"['wkwkkwkw', 'dikira', 'kita', 'bodo', 'ya', 'pak']",wkwkkwkw bodo
kalau pintar tentu penyikapannya akan beda,-3,Negatif,"['kalau', 'pintar', 'tentu', 'penyikapannya', 'akan', 'beda']",pintar penyikapannya beda
apapun critanya ada yang janggal,-2,Negatif,"['apapun', 'critanya', 'ada', 'yang', 'janggal']",apapun critanya janggal
ya kasihan rakyat kalau terus diajak demo dan harus nanggus susah sementara coba pikir siapa yang naikin anggaran dan siapa yang mau di bubarkan kalau cuma nolak fasilitas yang dianggap tidak pro rakyat cukup perwalian memprotes,-10,Negatif,"['ya', 'kasihan', 'rakyat', 'kalau', 'terus', 'diajak', 'demo', 'dan', 'harus', 'nanggus', 'susah', 'sementara', 'coba', 'pikir', 'siapa', 'yang', 'naikin', 'anggaran', 'dan', 'siapa', 'yang', 'mau', 'di', 'bubarkan', 'kalau', 'cuma', 'nolak', 'fasilitas', 'yang', 'dianggap', 'tidak', 'pro', 'rakyat', 'cukup', 'perwalian', 'memprotes']",kasihan rakyat diajak demo nanggus susah coba pikir naikin anggaran bubarkan nolak fasilitas dianggap pro rakyat perwalian memprotes
yang benar yang pertama penjelasan selanjutnya hanya untuk meredam sepertinya,-3,Negatif,"['yang', 'benar', 'yang', 'pertama', 'penjelasan', 'selanjutnya', 'hanya', 'untuk', 'meredam', 'sepertinya']",penjelasan meredam
